DISTRICT,TIME_HOUR,WORK_ID,HUMIDITY,TEMPERATURE,VOC,CO2,PM,FPM,WIND_SPEED_MS,WIND_DIR_DEG,RAIN_MM,RAIN_6H_MM,RAIN_12H_MM,WIND_GUST_MAX_MS,WIND_GUST_P95_MS,WIND_GUST_DIR_DEG,GUSTINESS_RATIO,AQ_SO2,AQ_NO2,AQ_O3,AQ_CO,AQ_PM10,AQ_PM25,AQ_REPCAI,AQ_OX,AQ_PM25_RATIO,AQ_PM25_LAG1H,AQ_PM25_LAG3H,AQ_PM10_LAG1H,AQ_PM10_LAG3H,AQ_CO_LAG1H,AQ_CO_LAG3H,N_ROWS,N_SENSORS
동구,2025-07-11 21:00,2.50711E+11,64.06386364,24.27795455,172.1104545,439.3181818,11.335,9.463636364,1.4,69.7,0,0,0,28.2,28.2,52.7,20.14285714,0.004,0.01,0.031,0.4,17,9,2,0.041,0.529411765,8,10,23,23,0.4,0.4,44,6
동구,2025-07-11 22:00,2.50711E+11,64.34039568,24.28496403,174.4704317,439.2769784,11.78964029,9.645971223,4.5,75.2,0,0,0,28.2,28.2,52.7,6.266666667,0.003,0.009,0.03,0.4,21,11,1,0.039,0.523809524,9,9,17,26,0.4,0.4,278,5
동구,2025-07-11 23:00,2.50711E+11,65.07804348,24.18641304,176.7129348,439.5652174,12.30086957,9.723043478,1.8,54.5,0,0,0,28.2,28.2,52.7,15.66666667,0.003,0.008,0.029,0.4,19,13,1,0.037,0.684210526,11,8,21,23,0.4,0.4,92,4
동구,2025-07-12 0:00,2.50712E+11,67.76588235,24.12352941,186.6158824,439,13.69823529,10.42411765,2.2,72.1,0,0,0,28.2,28.2,52.7,12.81818182,,,,,,,,,,13,9,19,17,0.4,0.4,17,1
동구,2025-07-12 4:00,2.50712E+11,76.365,22.24,265.1,444.5,19.14,15.84,0.9,69.3,0,0,0,28.2,28.2,52.7,31.33333333,0.003,0.008,0.036,0.4,24,12,2,0.044,0.5,12,9,18,22,0.4,0.4,2,1
동구,2025-07-12 5:00,2.50712E+11,70.12993789,23.67652174,184.1121118,438.5093168,18.21552795,15.01099379,1.5,67.7,0,0,0,28.2,28.2,52.7,18.8,0.004,0.008,0.035,0.4,17,11,2,0.043,0.647058824,12,10,24,22,0.4,0.4,161,3
동구,2025-07-12 6:00,2.50712E+11,67.92641304,23.91326087,175.1565217,439.3405797,16.39112319,13.26278986,2.3,77.2,0,0,0,28.2,28.2,52.7,12.26086957,0.004,0.008,0.033,0.4,23,13,2,0.041,0.565217391,11,12,17,18,0.4,0.4,276,5
동구,2025-07-12 7:00,2.50712E+11,60.3566482,25.64465374,176.5563158,439.6869806,15.66263158,12.47637119,0,45.9,0,0,0,28.2,28.2,52.7,,0.003,0.007,0.035,0.4,27,17,2,0.042,0.62962963,13,12,23,24,0.4,0.4,361,6
동구,2025-07-12 8:00,2.50712E+11,55.94934247,27.02523288,177.41,439.7205479,16.62216438,13.27227397,1.9,67.5,0,0,0,28.2,28.2,52.7,14.84210526,0.003,0.008,0.039,0.4,24,14,2,0.047,0.583333333,17,11,27,17,0.4,0.4,365,6
동구,2025-07-12 9:00,2.50712E+11,52.29085034,28.15935374,183.2954422,439.6292517,17.15554422,13.85105442,3.4,61.1,0,0,0,28.2,28.2,52.7,8.294117647,0.003,0.009,0.042,0.4,19,17,2,0.051,0.894736842,14,13,24,23,0.4,0.4,294,6
