"date","promo_A_Bunjang_Handling_Event","promo_B_Bunjang_Handling_Event","promo_C_DK_Birthday_Event_23","promo_D_Inclusion_Only_Service_Event","promo_E_DK_Black_Friday_2023","promo_F_DK_Christmas_Event_2023","promo_G_Handling_Fee_Promotion","promo_H_Point_Blossoms","promo_I_EMS_&_EMS_Premium_5%_Discount_Event","promo_J_Discount_of_5%_of_an_Order","promo_K_Free_Photo_Service","promo_L_UPS_80%_Distcount","promo_M_EMS_&_EMS_Premium_5%_Discount_Event","promo_N_5%_Discount_on_Bunjang_Products","promo_O_Black_Friday_Promotion","promo_P_New_Year_New_Customer","promo_Q_DK_Store_FREE_Handling_Fee_+_5%_OFF_on_Bunjang_Items!","promo_R_DKxDKshop_Free_Domestic_Shipping_in_Korea","promo_S_FREE_Handling_Fee_($1)","promo_T_10%_Off_International_Shipping","promo_U_EMS_&_EMS_Premium_5%_Discount_Event","promo_V_FREE_Handling_Fee_($5)","google_session_count","meta_session_count","tiktok_session_count","x_session_count","google_ads_spent","meta_ads_spent","tiktok_ads_spent","x_ads_spent","transaction_count","new_signups_count"
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,61670.0,0.0,0.0,0.0,37,73
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,82790.0,0.0,0.0,0.0,182,91
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,77067.0,0.0,0.0,0.0,194,93
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,71942.0,0.0,0.0,0.0,215,72
2023-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,87747.0,0.0,0.0,0.0,204,89
2023-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,78129.0,0.0,0.0,0.0,158,101
2023-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,70953.0,0.0,0.0,0.0,69,73
2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,73360.0,0.0,0.0,0.0,46,102
2023-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,99411.0,0.0,0.0,0.0,190,103
2023-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,0,85663.0,0.0,0.0,0.0,158,86
2023-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,84530.0,0.0,0.0,0.0,173,93
2023-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,78136.0,0.0,0.0,0.0,175,93
2023-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,70561.0,0.0,0.0,0.0,167,95
2023-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,66724.0,0.0,0.0,0.0,54,75
2023-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,68021.0,0.0,0.0,0.0,32,85
2023-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,65984.0,0.0,0.0,0.0,178,91
2023-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,65609.0,0.0,0.0,0.0,153,101
2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,67258.0,0.0,0.0,0.0,158,103
2023-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,79068.0,0.0,0.0,0.0,163,94
2023-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,71413.0,0.0,0.0,0.0,100,74
2023-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,64002.0,0.0,0.0,0.0,40,49
2023-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,66000.0,0.0,0.0,0.0,28,75
2023-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,88745.0,0.0,0.0,0.0,38,80
2023-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,77484.0,0.0,0.0,0.0,28,68
2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,64466.0,0.0,0.0,0.0,104,77
2023-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,76403.0,0.0,0.0,0.0,159,96
2023-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,58139.0,0.0,0.0,0.0,93,87
2023-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,63141.0,0.0,0.0,0.0,37,63
2023-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,66792.0,0.0,0.0,0.0,29,59
2023-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,76344.0,0.0,0.0,0.0,133,73
2023-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,69683.0,0.0,0.0,0.0,149,88
2023-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,2,0,0,86120.0,0.0,0.0,0.0,192,75
2023-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,75841.0,0.0,0.0,0.0,151,73
2023-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,1,0,0,79372.0,0.0,0.0,0.0,133,103
2023-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,85545.0,0.0,0.0,0.0,43,78
2023-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,84204.0,0.0,0.0,0.0,47,79
2023-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,90529.0,0.0,0.0,0.0,134,114
2023-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,78654.0,0.0,0.0,0.0,162,98
2023-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,95447.0,0.0,0.0,0.0,148,86
2023-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,82939.0,0.0,0.0,0.0,129,73
2023-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,78662.0,0.0,0.0,0.0,123,93
2023-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,73994.0,0.0,0.0,0.0,46,70
2023-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,92049.0,0.0,0.0,0.0,30,70
2023-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,90630.0,0.0,0.0,0.0,115,94
2023-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,84338.0,0.0,0.0,0.0,138,61
2023-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,74709.0,0.0,0.0,0.0,126,89
2023-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,82096.0,0.0,0.0,0.0,124,80
2023-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,72900.0,0.0,0.0,0.0,120,76
